"column","district","restaurantName","address","contactInfo","googlereviewlink","openingtime","latitude","longitude","ratingintotaloffive","ratingcategories"
"41","水源街二段","鮮富洋食館"," 新北市淡水區水源街二段118號"," 02 2625 5085","https://www.google.com/maps/place/%E9%AE%AE%E5%AF%8C%E6%B4%8B%E9%A3%9F%E9%A4%A8/@25.1745279,121.4479529,17z/data=!4m8!3m7!1s0x3442affc75777da5:0x13dc059643140c9!8m2!3d25.1745231!4d121.4528238!9m1!1b1!16s%2Fg%2F1pzylt3c2?hl=zh-TW&entry=ttu","11:15--14:00  17:00--20:00 禮拜五公休","25.1745279","121.4502435","4.6","四分或以上"
"42","水源街二段","味緣","新北市淡水區水源街二段112號"," 0909 809 251","https://www.google.com/maps/place/%E5%91%B3%E7%B7%A3/@25.1744777,121.4500286,17z/data=!4m8!3m7!1s0x3442af714bb6aef1:0xa114703807c0d156!8m2!3d25.1744729!4d121.4526035!9m1!1b1!16s%2Fg%2F11gt__m8xb?hl=zh-TW&entry=ttu","11:00-8:00","25.1744729","121.4500286","3.4","三分"
"43","水源街二段","淡水烤大學","新北市淡水區水源街二段102號"," 0958 309 601","https://www.google.com/maps/place/%E6%B7%A1%E6%B0%B4%E7%83%A4%E5%A4%A7%E5%AD%B8-%E5%B9%B3%E5%83%B9%E7%81%AB%E7%83%A4%E5%90%83%E5%88%B0%E9%A3%BD/@25.1744777,121.4500286,17z/data=!4m18!1m9!3m8!1s0x3442af714bb6aef1:0xa114703807c0d156!2z5ZGz57ej!8m2!3d25.1744729!4d121.4526035!9m1!1b1!16s%2Fg%2F11gt__m8xb!3m7!1s0x3442af7f82965b29:0x9f99336286dba38a!8m2!3d25.1744707!4d121.4521745!9m1!1b1!16s%2Fg%2F11r9g0z1w3?hl=zh-TW&entry=ttu","10:30--2:00  4:00--8:00","25.1744707","121.4495996","4.2","四分或以上"
"44","水源街二段","滷味王","新北市淡水區水源街二段108號"," 02 8631 1579","https://www.google.com/maps/place/%E6%BB%B7%E5%91%B3%E7%8E%8B/@25.1744943,121.4476949,17z/data=!4m8!3m7!1s0x3442affbf4432eb3:0x96582b7b9214aa39!8m2!3d25.1744895!4d121.4525658!9m1!1b1!16s%2Fg%2F1tmz4mtt?hl=zh-TW&entry=ttu","17:00-1:00","25.174448","121.1629075","4.2","四分或以上"
"45","水源街二段","ㄚ杜麵線","新北市淡水區水源街二段94號","0932 246 766","https://www.google.com/maps/place/%E4%B8%AB%E6%9D%9C%E9%BA%B5%E7%B7%9A/@25.1744084,121.4495316,17z/data=!4m8!3m7!1s0x3442afbfcac01beb:0xca064debbafa4913!8m2!3d25.1744036!4d121.4521065!9m1!1b1!16s%2Fg%2F11ghtngpqn?hl=zh-TW&entry=ttu","18:00-2:00 禮拜日公休","25.1744036","121.4495316","3.5","三分"
"46","水源街二段","雞加酒","新北市淡水區水源街二段98號","02 2626 1212","https://www.google.com/maps/place/%E9%9B%9E%E5%8A%A0%E9%85%92%EF%BC%88%E6%B7%A1%E6%B0%B4%E5%BA%97%EF%BC%89/@25.1744632,121.4495934,17z/data=!4m8!3m7!1s0x3442af361cf596d1:0x2c428bc49f5c260!8m2!3d25.1744584!4d121.4521683!9m1!1b1!16s%2Fg%2F11jxcsb_g5?hl=zh-TW&entry=ttu","16:00--12:00","25.1744767","121.4337357","4.1","四分或以上"
"47","水源街二段","碳烤王","新北市淡水區水源街二段94號","無","https://www.google.com/maps/place/%E7%A2%B3%E7%83%A4%E7%8E%8B/@25.1744162,121.4492487,17z/data=!4m8!3m7!1s0x3442affbfa819bf1:0x91ae9d65fd3a360d!8m2!3d25.1744114!4d121.4518236!9m1!1b1!16s%2Fg%2F1tgnzhr4?hl=zh-TW&entry=ttu","18:00--11:30","25.1744114","121.4492487","4.3","四分或以上"
"48","水源街二段","伍蝶","新北市淡水區水源街二段82號","02 2629 4187","https://www.google.com/maps/place/%E4%BC%8D%E8%9D%B6/@25.1742556,121.4491019,17z/data=!4m8!3m7!1s0x3442affbe34d50eb:0x2108ead8a1a5adb4!8m2!3d25.1742508!4d121.4516768!9m1!1b1!16s%2Fg%2F1tf9kz55?hl=zh-TW&entry=ttu","18:00--3:30","25.1742508","121.4491019","4","四分或以上"
"49","水源街二段","讚牛排 淡水","新北市淡水區水源街二段96號"," 0958 168 917","https://www.google.com/maps/place/%E8%AE%9A%E7%89%9B%E6%8E%92+%E6%B7%A1%E6%B0%B4/@25.174373,121.4472403,17z/data=!4m8!3m7!1s0x3442affbf08c3eb9:0x2c5dc02393cdeaa1!8m2!3d25.1743682!4d121.4521112!9m1!1b1!16s%2Fg%2F1tj28q3q?hl=zh-TW&entry=ttu","11:00--3:30 16:30--11:00","25.1743682","121.3079156","4.2","四分或以上"
"50","水源街二段","初心定食 居酒","新北市淡水區水源街二段110號1樓"," 02 2628 2760","https://www.google.com/maps/place/%E5%88%9D%E5%BF%83%E5%AE%9A%E9%A3%9F%EF%BC%8C%E5%B1%85%E9%85%92/@25.1744857,121.4500603,17z/data=!4m8!3m7!1s0x3442af414766fa33:0x24e27d30cc0bd6a0!8m2!3d25.1744809!4d121.4526352!9m1!1b1!16s%2Fg%2F11k4vf6y95?hl=zh-TW&entry=ttu","17:00--23:00 禮拜日休息","25.1744809","121.4500603","4.5","四分或以上"
